"Localitate","Judet","Agentie","KM"
"Alba","Botosani","Botosani","64"
"Albesti","Botosani","Botosani","42"
"Arborea","Botosani","Botosani","53"
"Aurel Vlaicu","Botosani","Botosani","44"
"Avram Iancu","Botosani","Botosani","58"
"Avrameni","Botosani","Botosani","49"
"Babiceni","Botosani","Botosani","38"
"Badarai","Botosani","Botosani","70"
"Badiuti","Botosani","Botosani","51"
"Baiceni","Botosani","Botosani",""
"Baisa","Botosani","Botosani",""
"Bajura","Botosani","Botosani","70"
"Balinti","Botosani","Botosani","67"
"Balta Arsa","Botosani","Botosani",""
"Baluseni","Botosani","Botosani",""
"Balusenii Noi","Botosani","Botosani",""
"Baranca (Cristinesti)","Botosani","Botosani","65"
"Baranca (Hudesti)","Botosani","Botosani","70"
"Barsanesti","Botosani","Botosani","41"
"Baseu","Botosani","Botosani","60"
"Batranesti","Botosani","Botosani",""
"Belcea","Botosani","Botosani",""
"Berza","Botosani","Botosani","73"
"Bivolari","Botosani","Botosani","45"
"Blandesti","Botosani","Botosani",""
"Bobulesti","Botosani","Botosani","55"
"Bodeasa","Botosani","Botosani","42"
"Bogdanesti","Botosani","Botosani","65"
"Bohoghina","Botosani","Botosani","27"
"Bold","Botosani","Botosani",""
"Borolea","Botosani","Botosani","45"
"Borzesti","Botosani","Botosani","29"
"Boscoteni","Botosani","Botosani","39"
"Botosani","Botosani","Botosani",""
"Bozieni","Botosani","Botosani","39"
"Braesti","Botosani","Botosani",""
"Brateni","Botosani","Botosani","35"
"Brehuiesti","Botosani","Botosani",""
"Broscauti","Botosani","Botosani","39"
"Brosteni","Botosani","Botosani","40"
"Bucecea","Botosani","Botosani",""
"Buda","Botosani","Botosani",""
"Buhaceni","Botosani","Botosani","36"
"Buimaceni","Botosani","Botosani","43"
"Burla","Botosani","Botosani",""
"Burlesti","Botosani","Botosani",""
"Buzeni","Botosani","Botosani",""
"Calarasi","Botosani","Botosani","65"
"Calinesti (Bucecea)","Botosani","Botosani",""
"Calinesti (Candesti)","Botosani","Botosani","45"
"Calugareni","Botosani","Botosani","30"
"Calugarenii Noi","Botosani","Botosani","26"
"Campeni","Botosani","Botosani","38"
"Candesti","Botosani","Botosani","48"
"Caraiman","Botosani","Botosani","47"
"Carasa","Botosani","Botosani","37"
"Catamaresti","Botosani","Botosani",""
"Catamaresti-Deal","Botosani","Botosani",""
"Cerbu","Botosani","Botosani","25"
"Cerchejeni","Botosani","Botosani","21"
"Cernesti","Botosani","Botosani","40"
"Cervicesti","Botosani","Botosani",""
"Cervicesti-Deal","Botosani","Botosani",""
"Chelis","Botosani","Botosani","29"
"Chiscareni","Botosani","Botosani","38"
"Chitoveni","Botosani","Botosani","32"
"Cinghiniia","Botosani","Botosani","49"
"Ciritei","Botosani","Botosani",""
"Cismanesti","Botosani","Botosani","40"
"Cismea","Botosani","Botosani",""
"Codreni","Botosani","Botosani","65"
"Concesti","Botosani","Botosani","67"
"Copalau","Botosani","Botosani","22"
"Cordareni","Botosani","Botosani","43"
"Corjauti","Botosani","Botosani","50"
"Corlateni","Botosani","Botosani","35"
"Corni","Botosani","Botosani","22"
"Costesti","Botosani","Botosani",""
"Costinesti","Botosani","Botosani",""
"Costiugeni","Botosani","Botosani","41"
"Cosula","Botosani","Botosani",""
"Cosuleni","Botosani","Botosani",""
"Cotargaci","Botosani","Botosani",""
"Cotu","Botosani","Botosani","23"
"Cotu Miculinti","Botosani","Botosani","65"
"Cotusca","Botosani","Botosani","59"
"Crasnaleuca","Botosani","Botosani","65"
"Cristesti","Botosani","Botosani","24"
"Cristinesti","Botosani","Botosani","57"
"Cucorani","Botosani","Botosani",""
"Cucuteni","Botosani","Botosani","43"
"Curtesti","Botosani","Botosani",""
"Cuza Voda","Botosani","Botosani","75"
"Cuzlau","Botosani","Botosani","84"
"Dacia","Botosani","Botosani","23"
"Damideni","Botosani","Botosani","61"
"Damileni","Botosani","Botosani","59"
"Dangeni","Botosani","Botosani","30"
"Darabani","Botosani","Botosani","70"
"Davidoaia","Botosani","Botosani",""
"Dealu Crucii","Botosani","Botosani",""
"Dealu Mare","Botosani","Botosani","33"
"Dersca","Botosani","Botosani","63"
"Dimacheni","Botosani","Botosani","36"
"Dimitrie Cantemir","Botosani","Botosani",""
"Dobarceni","Botosani","Botosani","47"
"Doina","Botosani","Botosani","54"
"Dolina","Botosani","Botosani",""
"Dorbinauti-Hapai","Botosani","Botosani","29"
"Dorobanti","Botosani","Botosani",""
"Dorohoi","Botosani","Botosani",""
"Dracsani","Botosani","Botosani","29"
"Dragalina (Cristinesti)","Botosani","Botosani","50"
"Dragalina (Hlipiceni)","Botosani","Botosani","50"
"Draguseni","Botosani","Botosani","45"
"Draxini","Botosani","Botosani","20"
"Drislea","Botosani","Botosani","29"
"Dumbravita","Botosani","Botosani","45"
"Dumeni","Botosani","Botosani","50"
"Durnesti","Botosani","Botosani","40"
"Durnesti (Santa Mare)","Botosani","Botosani","75"
"Durnesti (Ungureni)","Botosani","Botosani","27"
"Esanca","Botosani","Botosani","73"
"Flamanzi","Botosani","Botosani","31"
"Flondora","Botosani","Botosani","56"
"Floresti","Botosani","Botosani",""
"Frumusica","Botosani","Botosani","38"
"Fundu Hertii","Botosani","Botosani","62"
"Galbeni","Botosani","Botosani",""
"Garbeni","Botosani","Botosani","62"
"Garbesti","Botosani","Botosani",""
"George Cosbuc","Botosani","Botosani","26"
"George Enescu","Botosani","Botosani","52"
"Ghireni","Botosani","Botosani","63"
"Gorbanesti","Botosani","Botosani","23"
"Gorovei","Botosani","Botosani",""
"Grivita","Botosani","Botosani","44"
"Guranda","Botosani","Botosani","39"
"Hanesti","Botosani","Botosani","38"
"Havarna","Botosani","Botosani","61"
"Hiliseu-Closca","Botosani","Botosani","47"
"Hiliseu-Crisan","Botosani","Botosani","51"
"Hiliseu-Horia","Botosani","Botosani","45"
"Hlipiceni","Botosani","Botosani","46"
"Horia","Botosani","Botosani","65"
"Horlaceni","Botosani","Botosani","37"
"Horodistea","Botosani","Botosani","81"
"Hriscani","Botosani","Botosani",""
"Hudesti","Botosani","Botosani","60"
"Hudum","Botosani","Botosani",""
"Hulub","Botosani","Botosani","33"
"Hulubesti","Botosani","Botosani","50"
"Hutani","Botosani","Botosani",""
"Iacobeni","Botosani","Botosani","31"
"Ibaneasa","Botosani","Botosani","36"
"Ibanesti","Botosani","Botosani","50"
"Ichimeni","Botosani","Botosani","51"
"Icuseni","Botosani","Botosani","24"
"Iezer","Botosani","Botosani","45"
"Iliseni","Botosani","Botosani",""
"Ionaseni (Trusesti)","Botosani","Botosani",""
"Ionaseni (Varfu Campului)","Botosani","Botosani","33"
"Iorga","Botosani","Botosani",""
"Ipotesti","Botosani","Botosani",""
"Iuresti","Botosani","Botosani","40"
"Izvoare","Botosani","Botosani",""
"Jijia","Botosani","Botosani","45"
"Joldesti","Botosani","Botosani","28"
"Lehnesti","Botosani","Botosani","51"
"Leorda","Botosani","Botosani",""
"Libertatea","Botosani","Botosani","70"
"Lismanita","Botosani","Botosani","67"
"Lisna","Botosani","Botosani","56"
"Livada","Botosani","Botosani",""
"Liveni","Botosani","Botosani","55"
"Loturi","Botosani","Botosani","65"
"Loturi Enescu","Botosani","Botosani","41"
"Lozna","Botosani","Botosani","49"
"Lunca","Botosani","Botosani","34"
"Lunca (Varfu Campului)","Botosani","Botosani","40"
"Luparia","Botosani","Botosani","42"
"Maghera","Botosani","Botosani",""
"Manastirea Doamnei","Botosani","Botosani",""
"Manastireni","Botosani","Botosani",""
"Mandresti (Ungureni)","Botosani","Botosani","31"
"Mandresti (Vladeni)","Botosani","Botosani",""
"Manoleasa","Botosani","Botosani","59"
"Manoleasa-Prut","Botosani","Botosani","62"
"Manolesti","Botosani","Botosani",""
"Mascateni","Botosani","Botosani","35"
"Mateieni","Botosani","Botosani","31"
"Mesteacan","Botosani","Botosani",""
"Mihai Eminescu","Botosani","Botosani",""
"Mihai Eminescu (Gorbanesti)","Botosani","Botosani",""
"Mihai Viteazu","Botosani","Botosani","30"
"Mihail Kogalniceanu","Botosani","Botosani",""
"Mihaileni","Botosani","Botosani","52"
"Mihalaseni","Botosani","Botosani","41"
"Mileanca","Botosani","Botosani","57"
"Miletin","Botosani","Botosani","46"
"Miorcani","Botosani","Botosani","71"
"Miron Costin","Botosani","Botosani","44"
"Mitoc","Botosani","Botosani","61"
"Mitoc (Leorda)","Botosani","Botosani",""
"Mlenauti","Botosani","Botosani","59"
"Moara Jorii","Botosani","Botosani",""
"Movila Rupta","Botosani","Botosani","51"
"Movileni","Botosani","Botosani","65"
"Murguta","Botosani","Botosani","48"
"Nastase","Botosani","Botosani","47"
"Negreni","Botosani","Botosani","45"
"Negresti","Botosani","Botosani","44"
"Nichiteni","Botosani","Botosani","54"
"Nicolae Balcescu (Cotusca)","Botosani","Botosani",""
"Nicolae Balcescu (Flamanzi)","Botosani","Botosani","28"
"Nicseni","Botosani","Botosani",""
"Niculcea","Botosani","Botosani",""
"Oneaga","Botosani","Botosani","23"
"Oraseni-Deal","Botosani","Botosani",""
"Oraseni-Vale","Botosani","Botosani",""
"Oroftiana","Botosani","Botosani","66"
"Padureni (Cosula)","Botosani","Botosani",""
"Padureni (sendriceni)","Botosani","Botosani","44"
"Paltinis","Botosani","Botosani","80"
"Panaitoaia","Botosani","Botosani","52"
"Parau Negru","Botosani","Botosani","51"
"Pasateni","Botosani","Botosani","37"
"Paun","Botosani","Botosani","47"
"Petricani","Botosani","Botosani","37"
"Plesani","Botosani","Botosani","70"
"Plevna","Botosani","Botosani","56"
"Plopenii Mari","Botosani","Botosani","25"
"Plopenii Mici","Botosani","Botosani","28"
"Podeni","Botosani","Botosani","28"
"Podriga","Botosani","Botosani","42"
"Pogorasti","Botosani","Botosani","54"
"Poiana (Braesti)","Botosani","Botosani",""
"Poiana (Cristinesti)","Botosani","Botosani","56"
"Poiana (Flamanzi)","Botosani","Botosani","33"
"Poiana (Vorona)","Botosani","Botosani",""
"Pomarla","Botosani","Botosani","51"
"Popeni (Braesti)","Botosani","Botosani",""
"Popeni (George Enescu)","Botosani","Botosani","48"
"Popoaia","Botosani","Botosani","60"
"Prajeni","Botosani","Botosani","40"
"Prisacani","Botosani","Botosani",""
"Progresul","Botosani","Botosani",""
"Pustoaia","Botosani","Botosani","35"
"Putureni","Botosani","Botosani","61"
"Rachiti","Botosani","Botosani",""
"Racovat","Botosani","Botosani","59"
"Radauti-Prut","Botosani","Botosani","73"
"Radeni","Botosani","Botosani","36"
"Ranghilesti","Botosani","Botosani","54"
"Ranghilesti-Deal","Botosani","Botosani","65"
"Rasca","Botosani","Botosani","83"
"Rauseni","Botosani","Botosani","52"
"Recia-Verbia","Botosani","Botosani","35"
"Rediu (Radauti-Prut)","Botosani","Botosani","76"
"Rediu (Rauseni)","Botosani","Botosani","56"
"Ripiceni","Botosani","Botosani","51"
"Ripicenii Vechi","Botosani","Botosani","51"
"Rogojesti","Botosani","Botosani","51"
"Roma","Botosani","Botosani",""
"Romanesti","Botosani","Botosani","62"
"Romanesti-Vale","Botosani","Botosani","56"
"Rosiori","Botosani","Botosani",""
"Sadoveni","Botosani","Botosani","64"
"Santa Mare","Botosani","Botosani","75"
"Sarafinesti","Botosani","Botosani",""
"Sarata","Botosani","Botosani","45"
"Sarata (Mihalaseni)","Botosani","Botosani","45"
"Sarata-Basarab","Botosani","Botosani","50"
"Sarata-Draguseni","Botosani","Botosani","52"
"Sarbi","Botosani","Botosani","41"
"Sat Nou","Botosani","Botosani","39"
"Saucenita","Botosani","Botosani",""
"Saveni","Botosani","Botosani","36"
"Schit-Oraseni","Botosani","Botosani",""
"Scutari","Botosani","Botosani",""
"Selistea","Botosani","Botosani","63"
"Sendreni","Botosani","Botosani","36"
"Sendriceni","Botosani","Botosani",""
"Serpenita","Botosani","Botosani","100"
"Siliscani","Botosani","Botosani",""
"Silistea","Botosani","Botosani",""
"Slobozia (Broscauti)","Botosani","Botosani",""
"Slobozia (Cordareni)","Botosani","Botosani","42"
"Slobozia (Paltinis)","Botosani","Botosani","83"
"Slobozia Hanesti","Botosani","Botosani","45"
"Slobozia Siliscani","Botosani","Botosani","46"
"Smardan","Botosani","Botosani",""
"Socrujeni","Botosani","Botosani",""
"Soldanesti","Botosani","Botosani",""
"Soroceni","Botosani","Botosani",""
"Stanca (George Enescu)","Botosani","Botosani","55"
"Stanca (stefanesti)","Botosani","Botosani","54"
"Stancesti","Botosani","Botosani",""
"Stauceni","Botosani","Botosani",""
"Stefanesti","Botosani","Botosani","49"
"Stefanesti-Sat","Botosani","Botosani","50"
"Stiubieni","Botosani","Botosani","41"
"Stolniceni","Botosani","Botosani","55"
"Storesti","Botosani","Botosani","34"
"Strahotin","Botosani","Botosani","29"
"Strateni","Botosani","Botosani","46"
"Stroiesti","Botosani","Botosani","34"
"Suharau","Botosani","Botosani","60"
"Sulita","Botosani","Botosani","27"
"Supitca","Botosani","Botosani",""
"Talpa","Botosani","Botosani","45"
"Tataraseni","Botosani","Botosani","58"
"Tautesti","Botosani","Botosani",""
"Timus","Botosani","Botosani",""
"Tocileni","Botosani","Botosani",""
"Todireni","Botosani","Botosani","44"
"Trusesti","Botosani","Botosani","33"
"Tudor Vladimirescu (Albesti)","Botosani","Botosani","49"
"Tudor Vladimirescu (Avrameni)","Botosani","Botosani","54"
"Tudora","Botosani","Botosani","29"
"Ungureni","Botosani","Botosani","24"
"Unguroaia","Botosani","Botosani",""
"Unteni","Botosani","Botosani",""
"Vaculesti","Botosani","Botosani","25"
"Valcelele","Botosani","Botosani","21"
"Valea Grajdului","Botosani","Botosani",""
"Vanatori","Botosani","Botosani","20"
"Varfu Campului","Botosani","Botosani","33"
"Vatra","Botosani","Botosani","63"
"Vicoleni","Botosani","Botosani",""
"Victoria (Hlipiceni)","Botosani","Botosani","48"
"Victoria (Stauceni)","Botosani","Botosani",""
"Viforeni","Botosani","Botosani",""
"Viisoara","Botosani","Botosani","70"
"Viisoara Mica","Botosani","Botosani","68"
"Vitcani","Botosani","Botosani",""
"Vladeni","Botosani","Botosani",""
"Vladeni (Corlateni)","Botosani","Botosani","33"
"Vladeni-Deal","Botosani","Botosani","36"
"Vlasinesti","Botosani","Botosani","38"
"Vorniceni","Botosani","Botosani","35"
"Vorona","Botosani","Botosani","20"
"Vorona Mare","Botosani","Botosani","23"
"Vorona-Teodoru","Botosani","Botosani","22"
"Vultureni","Botosani","Botosani",""
"Zahoreni","Botosani","Botosani","55"
"Zaicesti","Botosani","Botosani",""
"Zlatunoaia","Botosani","Botosani","38"
"Zoitani","Botosani","Botosani","54"
"Albina","Braila","Braila",""
"Ariciu","Braila","Ianca","34"
"Baldovinesti","Braila","Braila",""
"Baraganul","Braila","Slobozia","32"
"Batogu","Braila","Ianca",""
"Berlesti","Braila","Ianca",""
"Bertestii de Jos","Braila","Braila","56"
"Bertestii de Sus","Braila","Braila","59"
"Boarca","Braila","Ianca","25"
"Bordei Verde","Braila","Ianca",""
"Bradeanca","Braila","Ianca","29"
"Braila","Braila","Braila",""
"Bratesu Vechi","Braila","Ianca",""
"Bumbacari","Braila","Ianca","40"
"Caineni-Bai","Braila","Ianca","39"
"Caldarusa","Braila","Ianca",""
"Cazasu","Braila","Braila",""
"Chichinetu","Braila","Ianca","51"
"Chioibasesti","Braila","Ianca","55"
"Chiscani","Braila","Braila",""
"Ciocile","Braila","Ianca","55"
"Ciresu","Braila","Ianca","26"
"Coltea","Braila","Ianca","39"
"Comaneasca","Braila","Ianca","29"
"Constantin Gabrielescu","Braila","Ianca",""
"Constantinesti","Braila","Ianca",""
"Corbeni","Braila","Ianca","28"
"Corbu Nou","Braila","Ianca","31"
"Corbu Vechi","Braila","Ianca","36"
"Cotu Lung","Braila","Braila",""
"Cotu Mihalea","Braila","Braila","23"
"Custura","Braila","Ianca","23"
"Cuza Voda (Salcia Tudor)","Braila","Ianca","49"
"Cuza Voda (Stancuta)","Braila","Braila","46"
"Dedulesti","Braila","Ianca",""
"Desirati","Braila","Ianca","37"
"Drogu","Braila","Ianca","37"
"Dudescu","Braila","Ianca","32"
"Dudesti","Braila","Ianca","40"
"Esna","Braila","Ianca","22"
"Faurei","Braila","Ianca",""
"Faurei-Sat","Braila","Ianca",""
"Filipesti","Braila","Ianca",""
"Filiu","Braila","Ianca",""
"Florica","Braila","Ianca","37"
"Galbenu","Braila","Ianca","37"
"Gara Ianca","Braila","Ianca",""
"Gavani","Braila","Ianca","24"
"Gemenele","Braila","Ianca","26"
"Gradistea","Braila","Ianca",""
"Gropeni","Braila","Braila","26"
"Gulianca","Braila","Ianca","42"
"Gura Calmatui","Braila","Braila","60"
"Gura Garlutei","Braila","Braila","63"
"Gurguieti","Braila","Ianca","30"
"Horia","Braila","Ianca",""
"Ianca","Braila","Ianca",""
"Ibrianu","Braila","Ianca",""
"Insuratei","Braila","Ianca","39"
"Ionesti","Braila","Ianca","23"
"Jirlau","Braila","Ianca","29"
"Jugureanu","Braila","Ianca","35"
"Lacu Rezii","Braila","Ianca","46"
"Lacu Sarat","Braila","Braila",""
"Lanurile","Braila","Ianca","32"
"Latinu","Braila","Ianca","35"
"Liscoteanca","Braila","Ianca","21"
"Maraloiu","Braila","Ianca","24"
"Martacesti","Braila","Braila",""
"Maru Rosu","Braila","Ianca","44"
"Maxineni","Braila","Ianca","32"
"Mihai Bravu","Braila","Braila","65"
"Mihail Kogalniceanu (Ramnicelu)","Braila","Ianca","26"
"Mihail Kogalniceanu (sutesti)","Braila","Ianca","27"
"Mircea Voda","Braila","Ianca",""
"Morotesti","Braila","Ianca","31"
"Movila Miresii","Braila","Ianca","23"
"Muchea","Braila","Braila",""
"Nicolae Balcescu","Braila","Ianca","36"
"Nicolesti","Braila","Ianca","47"
"Oancea","Braila","Braila","25"
"Odaieni","Braila","Ianca","47"
"Olaneasca","Braila","Ianca","44"
"Oprisenesti","Braila","Ianca",""
"Pantecani","Braila","Ianca","36"
"Perisoru","Braila","Ianca",""
"Pietroiu","Braila","Braila",""
"Pitulati","Braila","Ianca","40"
"Plasoiu","Braila","Ianca","43"
"Plopu","Braila","Ianca",""
"Polizesti","Braila","Braila","59"
"Pribeagu","Braila","Ianca","40"
"Racovita","Braila","Ianca","25"
"Ramnicelu","Braila","Ianca","24"
"Romanu","Braila","Braila",""
"Rosiori","Braila","Slobozia","34"
"Salcia Tudor","Braila","Ianca","46"
"Satuc","Braila","Ianca","35"
"Scarlatesti","Braila","Ianca","32"
"Scortaru Nou","Braila","Ianca","36"
"Scortaru Vechi","Braila","Braila",""
"Sihleanu","Braila","Ianca","35"
"Silistea","Braila","Braila",""
"Silistraru","Braila","Ianca",""
"Spiru Haret","Braila","Braila","52"
"Stanca","Braila","Braila","56"
"Stancuta","Braila","Braila","54"
"Surdila-Gaiseanca","Braila","Ianca",""
"Surdila-Greci","Braila","Ianca",""
"Sutesti","Braila","Ianca",""
"Tarlele Filiu","Braila","Ianca",""
"Tataru","Braila","Slobozia","40"
"Tepes Voda","Braila","Ianca",""
"Tichilesti","Braila","Braila","21"
"Traian","Braila","Ianca","22"
"Tudor Vladimirescu","Braila","Braila",""
"Tufesti","Braila","Braila","36"
"Ulmu","Braila","Ianca","33"
"Unirea","Braila","Ianca","26"
"Urleasca","Braila","Ianca",""
"Vadeni","Braila","Braila",""
"Valea Calmatuiului","Braila","Ianca","37"
"Valea Canepii","Braila","Ianca","26"
"Vamesu","Braila","Braila","24"
"Varsatura","Braila","Braila",""
"Victoria","Braila","Slobozia","40"
"Visani","Braila","Ianca","34"
"Viziru","Braila","Ianca","26"
"Voinesti","Braila","Ianca","27"
"Vultureni","Braila","Ianca","30"
"Zamfiresti","Braila","Ianca","39"
"Zavoaia","Braila","Ianca","27"
"Acris","Brasov","Sfantu Gheorghe","41"
"Apata","Brasov","Brasov","37"
"Arini","Brasov","Brasov","31"
"Augustin","Brasov","Brasov","55"
"Barcut","Brasov","Fagaras","25"
"Beclean","Brasov","Fagaras",""
"Beia","Brasov","Fagaras","66"
"Berivoi","Brasov","Fagaras",""
"Bod","Brasov","Brasov",""
"Bogata Olteana","Brasov","Fagaras","42"
"Boholt","Brasov","Fagaras","12"
"Bran","Brasov","Brasov",""
"Brasov","Brasov","Brasov",""
"Breaza","Brasov","Fagaras","22"
"Bucium","Brasov","Fagaras","21"
"Budila","Brasov","Brasov",""
"Bunesti","Brasov","Fagaras","57"
"Buzaiel","Brasov","Sfantu Gheorghe","45"
"Calbor","Brasov","Fagaras","9"
"Carpinis","Brasov","Brasov",""
"Cata","Brasov","Fagaras","53"
"Cheia","Brasov","Brasov",""
"Cincsor","Brasov","Fagaras",""
"Cincu","Brasov","Fagaras","23"
"Cobor","Brasov","Fagaras","21"
"Codlea","Brasov","Brasov",""
"Colonia 1 Mai","Brasov","Brasov",""
"Colonia Bod","Brasov","Brasov",""
"Colonia Reconstructia","Brasov","Brasov",""
"Comana","Brasov","Fagaras","27"
"Comana de Jos","Brasov","Fagaras","27"
"Comana de Sus","Brasov","Fagaras","30"
"Copacel","Brasov","Fagaras",""
"Corbi","Brasov","Fagaras","25"
"Crihalma","Brasov","Fagaras","30"
"Cristian","Brasov","Brasov",""
"Crit","Brasov","Fagaras","61"
"Crizbav","Brasov","Brasov","25"
"Cuciulata","Brasov","Fagaras","32"
"Cutus","Brasov","Brasov","26"
"Dacia","Brasov","Fagaras","36"
"Daisoara","Brasov","Fagaras","58"
"Dalghiu","Brasov","Sfantu Gheorghe","55"
"Dejani","Brasov","Fagaras","19"
"Dopca","Brasov","Fagaras","44"
"Dragus","Brasov","Fagaras","24"
"Drauseni","Brasov","Fagaras","60"
"Dridif","Brasov","Fagaras",""
"Drumul Carului","Brasov","Brasov","40"
"Dumbravita","Brasov","Brasov",""
"Fagaras","Brasov","Fagaras",""
"Fantana","Brasov","Fagaras","34"
"Feldioara","Brasov","Brasov",""
"Feldioara (Ucea)","Brasov","Fagaras","26"
"Felmer","Brasov","Fagaras","16"
"Fiser","Brasov","Fagaras","48"
"Fundata","Brasov","Brasov","45"
"Fundatica","Brasov","Brasov","53"
"Ghimbav","Brasov","Brasov",""
"Granari","Brasov","Fagaras","28"
"Grid","Brasov","Fagaras","22"
"Gura Vaii","Brasov","Fagaras","18"
"Halchiu","Brasov","Brasov",""
"Halmeag","Brasov","Fagaras","18"
"Harman","Brasov","Brasov",""
"Harseni","Brasov","Fagaras",""
"Hoghiz","Brasov","Fagaras","38"
"Holbav","Brasov","Brasov","23"
"Homorod","Brasov","Fagaras","47"
"Hurez","Brasov","Fagaras",""
"Iasi","Brasov","Fagaras",""
"Ileni","Brasov","Fagaras",""
"Ionesti","Brasov","Fagaras","63"
"Jibert","Brasov","Fagaras","29"
"Jimbor","Brasov","Fagaras","59"
"Lisa","Brasov","Fagaras","24"
"Lovnic","Brasov","Fagaras","23"
"Ludisor","Brasov","Fagaras","18"
"Lunca Calnicului","Brasov","Brasov",""
"Lupsa","Brasov","Fagaras","35"
"Luta","Brasov","Fagaras",""
"Magura","Brasov","Brasov","10"
"Maierus","Brasov","Brasov","30"
"Malinis","Brasov","Fagaras","21"
"Mandra","Brasov","Fagaras",""
"Margineni","Brasov","Fagaras","17"
"Mateias","Brasov","Fagaras","52"
"Mercheasa","Brasov","Fagaras","52"
"Mesendorf","Brasov","Fagaras","66"
"Moieciu","Brasov","Brasov",""
"Moieciu de Jos","Brasov","Brasov",""
"Moieciu de Sus","Brasov","Brasov",""
"Ohaba","Brasov","Fagaras","21"
"Oltet","Brasov","Fagaras","25"
"Ormenis","Brasov","Brasov","40"
"Palos","Brasov","Fagaras","59"
"Paltin","Brasov","Brasov",""
"Parau","Brasov","Fagaras","19"
"Paraul Rece","Brasov","Brasov",""
"Persani","Brasov","Fagaras","22"
"Pestera","Brasov","Brasov","40"
"Podu Oltului","Brasov","Brasov",""
"Poiana Brasov","Brasov","Brasov",""
"Poiana Marului","Brasov","Brasov",""
"Pojorta","Brasov","Fagaras","19"
"Predeal","Brasov","Brasov",""
"Predelut","Brasov","Brasov",""
"Prejmer","Brasov","Brasov",""
"Purcareni","Brasov","Brasov",""
"Racos","Brasov","Fagaras","53"
"Rasnov","Brasov","Brasov",""
"Rasnov Romacril","Brasov","Brasov",""
"Rausor","Brasov","Fagaras",""
"Recea","Brasov","Fagaras","17"
"Roades","Brasov","Fagaras","57"
"Rodbav","Brasov","Fagaras","20"
"Rotbav","Brasov","Brasov","24"
"Rucar","Brasov","Fagaras","22"
"Rupea","Brasov","Fagaras","43"
"Sacele","Brasov","Brasov",""
"Sambata de Jos","Brasov","Fagaras","15"
"Sambata de Sus","Brasov","Fagaras","19"
"Sanpetru","Brasov","Brasov",""
"Sasciori","Brasov","Fagaras",""
"Satu Nou","Brasov","Brasov",""
"Savastreni","Brasov","Fagaras",""
"Sebes","Brasov","Fagaras","18"
"Selistat","Brasov","Fagaras","29"
